issue_number,raw_affiliation_name,new_rors,previous_rors,added_rors,removed_rors,has_added_rors,has_removed_rors,works_examples,contact,contact_domain
2659,"University of Canada West, Vancouver, BC, Canada",028d12s45,,028d12s45,,True,True,W4313352266,bb65269187f492b1819599fd948e23e6:b3e33585 @ ourresearch.org,ourresearch.org
2658,"Department of Arts, Communications and Social Sciences, University Canada, West Vancouver, Canada",028d12s45,,028d12s45,,True,True,W4378976832,16478e08647de336eedfc98d8be44999:e703123f @ ourresearch.org,ourresearch.org
2657,"Irset - Institut de recherche en santé, environnement et travail (263 avenue Général Leclerc 35042 Rennes Cedex - France); Protim - Proteomics Core Facility (Plateforme Protim Campus de Beaulieu, Rennes cedex F-3504 - France)",01p178v10;015m7wh34;05cx7ek10,01p178v10;015m7wh34,05cx7ek10,,True,False,W4319985468,0767175b815fab3525ccf1c611577825:b2367c7a603966b334d92f29f512d026 @ univ-rennes.fr,univ-rennes.fr
2656,"EHESP - École des Hautes Études en Santé Publique [EHESP] (15, avenue du Pr. Léon Bernard - 35043 Rennes Cedex - France); Irset - Institut de recherche en santé, environnement et travail (263 avenue Général Leclerc 35042 Rennes Cedex - France); Protim - Proteomics Core Facility (Plateforme Protim Campus de Beaulieu, Rennes cedex F-3504 - France)",01p178v10;01sc83v92;015m7wh34;05cx7ek10,01p178v10;01sc83v92;015m7wh34,05cx7ek10,,True,False,W4385988769,9061fcf12a9583525cad72a64e531701:3ea12a7fd57b95840890da02510f5903 @ univ-rennes.fr,univ-rennes.fr
2655,"CNRS, INSERM, BIOSIT UAR 3480, US_S 018, Oncotrial, Univ Rennes, 35000, Rennes, France",02vjkv261;015m7wh34;02feahw73;05cx7ek10,02vjkv261;015m7wh34;02feahw73,05cx7ek10,,True,False,W4323048909,eb3683b2f03a3da5b9cfbd695932236f:d9813ce9b7bb3637adab371e050e22f9 @ univ-rennes.fr,univ-rennes.fr
2654,"BIOSIT, UAR 3480 US 018, Université de Rennes",015m7wh34;05cx7ek10,015m7wh34,05cx7ek10,,True,False,W4386552868,a0c65223b0c3d84599a5b2bc611db7b0:ec01b49d670ab70067834302af895eb7 @ univ-rennes.fr,univ-rennes.fr
2653,Université de Rennes 1 - Flow Cytometry Facility H2P2,015m7wh34;05cx7ek10,015m7wh34,05cx7ek10,,True,False,W4318615737,1ad050a73439c845733f6dab1508c0c9:383c2df79dcd9a7695e4f309da0a9a81 @ univ-rennes.fr,univ-rennes.fr
2652,"Université de Rennes, CNRS, Inserm, BIOSIT, UMS 3480, US_S 018, Rennes, France",015m7wh34;02feahw73;02vjkv261;05cx7ek10,015m7wh34;02feahw73;02vjkv261,05cx7ek10,,True,False,W4388749741,bcd2a5af9d058679f750318a381b6c04:74c00805bf894d5e0eff0854269654b6 @ univ-rennes.fr,univ-rennes.fr
2651,"H2P2 - H2P2 - Histo Pathologie Hight Precision (Faculté de médecine, Bâtiment 7, 2 avenue du professeur Léon Bernard ; 35043 Rennes cedex - France); NuMeCan - Nutrition, Métabolismes et Cancer (Campus Villejean (Bât 8) - CHU Rennes (Bât 15) - Université de Rennes 1, 2 Avenue du Professeur Léon Bernard, 35043 Rennes, France - France)",015m7wh34;05qec5a53;05cx7ek10,015m7wh34;05qec5a53,05cx7ek10,,True,False,W4394029077,421d3e2c4941d3a5d20b7d90fe82bff7:4484f427316b89ad072c3d287360ec46 @ univ-rennes.fr,univ-rennes.fr
2650,"H2P2 - H2P2 - Histo Pathologie Hight Precision (Faculté de médecine, Bâtiment 7, 2 avenue du professeur Léon Bernard ; 35043 Rennes cedex - France); UR - Université de Rennes (Campus de Beaulieu, 263 avenue Général Leclerc, CS 74205, 35042 RENNES CEDEX - France)",015m7wh34;05cx7ek10,015m7wh34,05cx7ek10,,True,False,W4394029077,5f61abca71971b7d55125d74cb891360:69e4668ea2a2c0fa35bae5e8f24f6449 @ univ-rennes.fr,univ-rennes.fr
2649,"IODE (UMR 6262), Université de Rennes 1",015m7wh34;030ewzw66,015m7wh34,030ewzw66,,True,False,W4387668043,199f85aa9a760a283ee76df31d905433:51264c3491d6bf6a05fd4998738d480e @ univ-rennes.fr,univ-rennes.fr
2648,"Maître de Conférences, Univ Rennes, CNRS, CREM – UMR 6211, Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4387025594,7473b066b50a40bc21e257cf2265365a:18239f1c26b2808ad8a4f85e0b74fd71 @ univ-rennes.fr,univ-rennes.fr
2647,"Univ Rennes, CNRS, CREM – UMR6211, Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4382048794,acc0134dba893f36aad67cd3e23c7234:25d0e0b0b21816a9a64375b1c0b968c6 @ univ-rennes.fr,univ-rennes.fr
2646,"Univ Rennes, CNRS, CREM - UMR6211, F-35000 Rennes (France)",02feahw73;015m7wh34;0047rmf80,02feahw73;015m7wh34,0047rmf80,,True,False,W4389124845,53ff7cc946a0c4ed64efc05a6927afa4:cadd5a3653869a3a25f4b4c5023a08ce @ univ-rennes.fr,univ-rennes.fr
2645,"Univ Rennes, CNRS, CREM - UMR6211, F-35000 Rennes France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4388026607,93bc2c1a490bf80b5ff00dafac9e1e7d:9bc775324c68e3fef4c4160a55c9add9 @ univ-rennes.fr,univ-rennes.fr
2644,"Univ Rennes, CNRS, CREM – UMR 6211, Rennes, France",02feahw73;015m7wh34;0047rmf80,02feahw73;015m7wh34,0047rmf80,,True,False,W4386742070,ef33225d08679a534e4e9014088920a6:fbdd0c9908f5901b01acdea8bcada53c @ univ-rennes.fr,univ-rennes.fr
2643,"Univ Rennes, CNRS, CREM -UMR 6211, France and Institut Universitaire de France, F-35000, Rennes, France",02feahw73;055khg266;015m7wh34;0047rmf80,02feahw73;055khg266;015m7wh34,0047rmf80,,True,False,W4367183147,c9f361435f6cc9db01ba18838536840b:bbe3faa0ec32a48dcfd87a14b2be89f2 @ univ-rennes.fr,univ-rennes.fr
2642,"Univ Rennes, CNRS, CREM-UMR 6211 , Condorcet Center for Political Economy , F-35000 Rennes , France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4318832666,fe12d087e93efcf6272c188ecfa07189:3b333b750d6c04b564f28e48dd0bb7cc @ univ-rennes.fr,univ-rennes.fr
2641,"Univ Rennes, CNRS, CREM—UMR 6211  Rennes France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4387898698,f4f311cd796dc18ad37201f981025e31:935546f4b2d11a5a46471eb54991b626 @ univ-rennes.fr,univ-rennes.fr
2640,"Univ Rennes, CNRS, CREM – UMR6211, F-35000, Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4387791794,06571f37f72072b69479e2efdb662fb4:80179dacb0bacb38031236084f6bc934 @ univ-rennes.fr,univ-rennes.fr
2639,"Univ Rennes, CNRS, CREM, UMR 6211, 35000, Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4322724168,66c425459dd91a7cb873516352719ff7:6a274a0ddd24941ac99198d4ec530f2b @ univ-rennes.fr,univ-rennes.fr
2638,"University Rennes 1, CREM UMR CNRS 6211, Rennes, France",015m7wh34;0047rmf80,015m7wh34,0047rmf80,,True,False,W4313444378,b71b21d66a87c7440e20500d3c65d5b0:2d1240fca08b0f8c013179f8c4cd9ee5 @ univ-rennes.fr,univ-rennes.fr
2637,"IUT de Saint Malo, Univ Rennes, CNRS, CREM - UMR 6211, F-35000 Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4386258600,9f8f5f0a49db4a7cae7944529d02d34d:fd6cc0091e787a8070dbc4842f0b89cb @ univ-rennes.fr,univ-rennes.fr
2636,"IGR-IAE Rennes, Univ Rennes, CNRS, CREM – UMR6211, F‐35000, Rennes, France",02feahw73;015m7wh34;0047rmf80,02feahw73;015m7wh34,0047rmf80,,True,False,W4385638910,3a0c023030a225698a31e66878b8b2fd:51c281cf46af0718ec6a28960f2c58bc @ univ-rennes.fr,univ-rennes.fr
2635,"IGR-IAE, Univ Rennes, CNRS, CREM – UMR6211, F‐35000, Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4385638910,6d87ae585454e6a57899e357e1e4bc41:bf8fa16223ef1a36b1646ffeb3d4bcb9 @ univ-rennes.fr,univ-rennes.fr
2634,"CNRS CREM - UMR6211, Univ Rennes, 35000, Rennes, France",015m7wh34;02feahw73;0047rmf80,015m7wh34;02feahw73,0047rmf80,,True,False,W4386497599,5fbc63d2a72e938657a7bc940c53395a:76b42bb7ac12379540f44329d5af4918 @ univ-rennes.fr,univ-rennes.fr
2633,"Univ Rennes, CNRS, CREM - UMR 6211, F-35000 Rennes, France; University of Economics, The University of Danang, Viet Nam",03ecpp171;015m7wh34;02feahw73;0047rmf80,03ecpp171;015m7wh34;02feahw73,0047rmf80,,True,False,W4317598146,f68c4e5f7d1776c3e01e023e96d10fab:8412f0467ba735675c78854214b946ee @ univ-rennes.fr,univ-rennes.fr
