raw_affiliation_string;openalex_work_id;openalex_country;openalex_display_name;matched_country
Motricité, interactions, performance EA 4334;https://openalex.org/W1941161411;CA;Interac;FR
KTH Royal Institute of Technology, Stockholm, France;https://openalex.org/W3030944051;SE;Royal Institute of Technology;FR
Institut de Recherche pour le Développement (IRD), UMR 215 Prodig;https://openalex.org/W3155793612;CG;Institut de Recherche pour le Développement;FR
Centre de recherche Droits et perspectives du droit - ULR 4487;https://openalex.org/W2586336208;CA;Université Laval Faculty of Law;FR
Centre de recherche Droits et perspectives du droit - ULR 4487;https://openalex.org/W2997583469;CA;Université Laval Faculty of Law;FR
IAE Lille;https://openalex.org/W2753550443;US;International Aero Engines;FR
Paris Sorbonne Paris IV - Celsa;https://openalex.org/W2610612647;FR;Paris-Sorbonne University;US
Inserm U955, Université Paris Est Créteil (UPEC), Institut Mondor de Recherche Biomédicale (IMRB), équipe CEpiA (Clinical Epidemiology and Ageing), Créteil, France;https://openalex.org/W3003169082;IN;IMRB International;FR
New Caledonian Agronomic Institute (IAC), BP 73, 98890 Païta, New Caledonia;https://openalex.org/W3084423327;US;IAC;NC
Department of Crop & Soil Sciences, University of Georgia, (UGA), Tifton, GA 31793, USA;https://openalex.org/W4200431031;GE;University of Georgia;US
Department of Crop and Soil Sciences University of Georgia  Tifton Georgia USA;https://openalex.org/W4220673707;GE;University of Georgia;US
Orange Labs/SENSE, France;https://openalex.org/W4315797176;GB;Orange;FR
  The University of Hong Kong;https://openalex.org/W2606937270;CN;University of Hong Kong;HK
Centre de recherche Droits et perspectives du droit - ULR 4487;https://openalex.org/W3161297170;CA;Université Laval Faculty of Law;FR
Université de Toulouse - ISAE-SUPAERO, 31055 Toulouse, France, on leave of absence from Instituto Tecnólogico of Aeronáutica, Brazil, with financial support by CNPq-Brazil;https://openalex.org/W2229994548;BR;Instituto Tecnológico de Aeronáutica;FR
Department of Mechanical and Aerospace Engineering, Princeton University, Princeton, New Jersey, 08544;https://openalex.org/W4226120595;US;Princeton University;JE
Laboratory for Analysis of Organic Compound (LAOC), Lebanese Atomic Energy Commission (LAEC), CNRSL, Beirut, Lebanon.;https://openalex.org/W2811110328;US;United States Atomic Energy Commission;LB
a Laboratory for Analysis of Organic Compounds (LAOC) , CNRSL, Lebanese Atomic Energy Commission (LAEC) , Beirut , Lebanon.;https://openalex.org/W2910596843;US;United States Atomic Energy Commission;LB
CNRSL, Lebanese Atomic Energy Commission (LAEC), Laboratory for Analysis of Organic Compound (LAOC) , Beirut, Lebanon;https://openalex.org/W3012932665;US;United States Atomic Energy Commission;LB
Laboratory for Analysis of Organic Compounds (LAOC) CNRSL, Lebanese Atomic Energy Commission (LAEC) Beirut Lebanon;https://openalex.org/W3155238886;US;United States Atomic Energy Commission;LB
DMAE, UFT-MiP, Onera, The French Aerospace Lab, 31000 Toulouse, France;https://openalex.org/W2468319057;US;IM Flash Technologies;FR
Naval Group Research [Bouguenais];https://openalex.org/W2996805831;IE;Naval Group;FR
Univ Lyon;https://openalex.org/W2609106452;US;Lyon College;FR
Centre de recherches en histoire internationale et Atlantique - EA 1163;https://openalex.org/W2759207923;DE;Lantiq;FR
Lebanese Atomic Energy Commission, NCSR, Beirut, Lebanon;https://openalex.org/W3215660473;US;United States Atomic Energy Commission;LB
CEISIC, Royal Institute of the Amazigh Culture (IRCAM), Rabat, Morocco;https://openalex.org/W2924281042;FR;Institut de Recherche et Coordination Acoustique Musique;MA
Laboratory Systems of Telecommunication and Decision Engineering (LASTID), Ibn Tofail University Kenitra#R##N#IRTES-SET. University of Technology of Belfort-Montbéliard (UTBM);https://openalex.org/W2189819647;FR;University of Technology of Belfort-Montbéliard;MA
CEISIC, IRCAM, Rabat, Morocco , --- Select a Country ---;https://openalex.org/W3156327280;FR;Institut de Recherche et Coordination Acoustique Musique;MA
Information Systems and Communication (CEISIC), Royal Institute of Amazigh Culture (IRCAM), Rabat, Morocco;https://openalex.org/W4205271693;FR;Institut de Recherche et Coordination Acoustique Musique;MA
PTV Group, Arlington, VA;https://openalex.org/W3196522954;DE;PTV Group;US
CNRS-LAAS, 7 avenue du colonel Roche, F-31400 Toulouse, France;https://openalex.org/W2253926782;CH;Roche;FR
Nokia Bell Labs, Stuttgart, Germany.;https://openalex.org/W2963511784;US;Bell Labs;DE
Nokia Bell Labs,Paris-Saclay,France;https://openalex.org/W2950115666;US;Bell Labs;FR
Bell Labs France/Nokia, Route de Villejust, 91620 Nozay, France;https://openalex.org/W2881302940;US;Bell Labs;FR
Swine epidemiology and welfare research unit, French Agency for Food, Environmental and Occupational Health & Safety (ANSES), Ploufragan, France;https://openalex.org/W2512358314;AR;ANSES;FR
Swine epidemiology and welfare research unit, French Agency for Food, Environmental and Occupational Health & Safety (ANSES), Ploufragan, France.;https://openalex.org/W2522451368;AR;ANSES;FR
ANSES, Laboratoire de Ploufragan-Plouzané-Niort;https://openalex.org/W2996645237;AR;ANSES;FR
CNRS-UM2 LIRMM UMR 5506, Interactive Digital Human group;https://openalex.org/W2329625247;US;Digital Science;FR
ICSM, CEA, CNRS, Univ. Montpellier, ENSCM, Bagnols-sur-Cèze, France. guilhem.arrachart@cea.fr stephane.pellet-rostaing@cea.fr and LCOM, Department of Chemistry, Lebanese University, Faculty of Sciences I, Hadath, Lebanon.;https://openalex.org/W2766785920;LB;Lebanese University;FR
Institut Camille Jordan [Villeurbanne];https://openalex.org/W2896936899;FR;Camille Jordan Institute;JO
Shimadzu Corporation, Marne-la-Vallée, France;https://openalex.org/W2804688676;JP;Shimadzu;FR
CEA, DES/IRESNE/DEC;https://openalex.org/W4210478386;US;DECA;FR
