raw_affiliation_string;openalex_work_id;openalex_country;openalex_display_name;matched_country
KU, Leuven, Leuven, Belgium;https://openalex.org/W3085273257;;KU, Leuven, Leuven, Belgium;BE
Department of Sport and Physical Education Sciences, Laboratory Movement, Interactions, Performance, Nantes, EA 4334, France;https://openalex.org/W2500146957;;Department of Sport and Physical Education Sciences, Laboratory Movement, Interactions, Performance, Nantes, EA 4334, France;FR
KTH, Stockhom, Sweden;https://openalex.org/W4214750253;;KTH, Stockhom, Sweden;SE
LESC (UMR 7186)/ED. 395, Milieux, cultures et sociétés du passé et du présent, Université Paris Ouest Nanterre la Défense, France;https://openalex.org/W2276472523;;LESC (UMR 7186)/ED. 395, Milieux, cultures et sociétés du passé et du présent, Université Paris Ouest Nanterre la Défense, France;FR
French National Research Institute for Sustainable Development, UMR 215 Prodig, Aubervilliers, France;https://openalex.org/W3131705266;;French National Research Institute for Sustainable Development, UMR 215 Prodig, Aubervilliers, France;FR
Cultures, Arts, Littératures, Histoire, Imaginaires, Sociétés, Territoires, Environnement - EA 4343;https://openalex.org/W2604289104;;Cultures, Arts, Littératures, Histoire, Imaginaires, Sociétés, Territoires, Environnement - EA 4343;FR
France, Amériques, Espagne – Sociétés, pouvoirs, acteurs;https://openalex.org/W2546660938;;France, Amériques, Espagne – Sociétés, pouvoirs, acteurs;FR
University of Toulouse, Political Studies Institute, Economics Department (LEREPS), Manufacture des Tabacs, MD 207, 21 allée de Brienne, 31170 Toulouse, France;https://openalex.org/W1777967841;;University of Toulouse, Political Studies Institute, Economics Department (LEREPS), Manufacture des Tabacs, MD 207, 21 allée de Brienne, 31170 Toulouse, France;FR
Institute of Advanced Studies (EPHE), France;https://openalex.org/W2529301156;;Institute of Advanced Studies (EPHE), France;FR
Groupe de Recherche en Management - EA 4711;https://openalex.org/W2565469591;;Groupe de Recherche en Management - EA 4711;FR
